,Popularity,Score
850,566,6.81
851,530,6.83
852,5772,6.81
853,5706,6.86
854,6886,6.83
855,5815,6.81
856,6494,6.82
857,6801,6.82
858,6839,6.84
859,4740,6.82
860,2266,6.82
861,2920,6.81
862,9199,6.82
863,535,6.82
864,1510,6.81
865,3095,6.82
866,10141,6.82
867,7646,6.82
868,5826,6.82
869,5021,6.82
870,3108,6.82
871,7520,6.82
872,2064,6.82
873,770,6.82
874,5992,6.82
875,6167,6.82
876,2143,6.82
877,5552,6.82
878,5259,6.82
879,7491,6.81
880,4737,6.81
881,10259,6.82
882,2301,6.82
883,5139,6.81
884,11287,6.81
885,12189,6.82
886,7424,6.81
887,5669,6.82
888,7844,6.82
889,2769,6.81
890,3427,6.81
891,3442,6.81
892,6996,6.81
893,2044,6.81
894,1418,6.81
895,8954,6.81
896,3316,6.81
897,7542,6.82
898,9921,6.81
899,9271,6.81
900,8190,6.81
901,8062,6.81
902,4176,6.81
903,2976,6.79
904,3763,6.81
905,9405,6.8
906,4196,6.8
907,9958,6.81
908,6326,6.78
909,2088,6.78
910,7278,6.8
911,8779,6.78
912,4997,6.78
913,11464,6.77
914,3802,6.77
915,9246,6.8
916,14638,6.8
917,10769,6.77
918,2459,6.76
919,5754,6.8
920,3173,6.81
921,5650,6.76
922,14208,6.76
923,11161,6.81
924,4335,6.77
925,4702,6.77
926,1959,6.76
927,8281,6.76
928,4028,6.76
929,7019,6.77
930,10868,6.77
931,9794,6.77
932,4715,6.77
933,3031,6.77
934,4717,6.77
935,2116,6.77
936,15543,6.76
937,3726,6.75
938,261,6.77
939,9837,6.77
940,7497,6.75
941,1882,6.74
942,8201,6.75
943,5247,6.74
944,6787,6.74
945,379,6.74
946,9525,6.76
947,4663,6.74
948,5032,6.77
949,2771,6.74
950,9602,6.74
951,11208,6.74
952,2463,6.74
953,9878,6.74
954,7569,6.74
955,7982,6.75
956,9841,6.74
957,6967,6.74
958,2478,6.75
959,2366,6.74
960,6129,6.74
961,1579,6.74
962,5006,6.74
963,8445,6.74
964,1032,6.74
965,1674,6.74
966,631,6.74
967,6660,6.74
968,1458,6.72
969,8870,6.72
970,6401,6.74
971,9177,6.74
972,8708,6.74
973,8259,6.71
974,8690,6.74
975,3533,6.71
976,1662,6.71
977,3331,6.71
978,5374,6.71
979,12985,6.71
980,2424,6.72
981,8426,6.74
982,8790,6.7
983,5671,6.7
984,8873,6.71
985,1244,6.74
986,8538,6.71
987,2806,6.7
988,5315,6.7
989,11605,6.7
990,8249,6.7
991,11240,6.7
992,5423,6.71
993,12259,6.7
994,9846,6.7
995,1593,6.69
996,3115,6.7
997,7084,6.69
998,10451,6.69
999,12846,6.68
1000,6992,6.68
1001,2377,6.68
1002,4227,6.68
1003,1407,6.67
1004,3511,6.7
1005,4654,6.7
1006,2696,6.69
1007,6584,6.67
1008,7093,6.67
1009,8485,6.68
1010,4657,6.67
1011,4384,6.66
1012,5527,6.69
1013,7583,6.66
1014,7756,6.7
1015,12242,6.65
1016,9063,6.67
1017,11465,6.67
1018,3683,6.64
1019,3640,6.64
1020,9776,6.64
1021,7514,6.64
1022,3140,6.64
1023,9159,6.63
1024,1935,6.63
1025,4955,6.62
1026,9067,6.66
1027,9740,6.65
1028,6737,6.65
1029,9767,6.62
1030,9489,6.64
1031,8144,6.62
1032,2256,6.62
1033,1975,6.62
1034,6497,6.62
1035,9451,6.63
1036,3348,6.62
1037,6750,6.62
1038,3915,6.62
1039,2964,6.63
1040,13352,6.63
1041,10337,6.62
1042,11098,6.62
1043,3086,6.63
1044,12543,6.63
1045,6033,6.62
1046,5537,6.62
1047,856,6.62
1048,4104,6.63
1049,7829,6.62
1050,5268,6.63
1051,4323,6.62
1052,13381,6.62
1053,8787,6.62
1054,8808,6.62
1055,6745,6.62
1056,3704,6.63
1057,11915,6.62
1058,12194,6.62
1059,3706,6.62
1060,4582,6.62
1061,6714,6.62
1062,4637,6.62
1063,6026,6.62
1064,8242,6.62
1065,4500,6.62
1066,2149,6.62
1067,10032,6.6
1068,694,6.62
1069,4599,6.6
1070,11945,6.6
1071,3685,6.61
1072,2895,6.62
1073,2509,6.6
1074,2939,6.6
1075,718,6.6
1076,6672,6.61
1077,8037,6.62
1078,8972,6.61
1079,8466,6.61
1080,6031,6.59
1081,7026,6.6
1082,9840,6.59
1083,14270,6.59
1084,4188,6.6
1085,5129,6.59
1086,4659,6.6
1087,16038,6.58
1088,7850,6.58
1089,4804,6.58
1090,4491,6.6
1091,2847,6.58
1092,12591,6.59
1093,5729,6.58
1094,8405,6.58
1095,8470,6.62
1096,4962,6.58
1097,482,6.58
1098,1343,6.58
1099,10470,6.58
1100,11691,6.58
1101,7319,6.58
1102,6358,6.58
1103,10685,6.58
1104,8478,6.58
1105,4430,6.58
1106,8317,6.58
1107,2200,6.58
1108,6257,6.58
1109,8540,6.58
1110,15294,6.58
1111,9637,6.58
1112,7448,6.57
1113,7724,6.58
1114,2356,6.57
1115,4518,6.57
1116,3135,6.56
1117,6452,6.56
1118,5136,6.56
1119,3143,6.56
1120,10323,6.55
1121,12948,6.58
1122,12494,6.55
1123,9380,6.55
1124,1651,6.56
1125,5159,6.58
1126,5101,6.55
1127,12322,6.54
1128,13074,6.53
1129,12860,6.57
1130,11657,6.53
1131,6812,6.56
1132,4695,6.53
1133,5072,6.53
1134,9142,6.53
1135,7119,6.53
